Regioni,Somministrazioni,Dosi Consegnate,Percentuale,Popolazione,Copertura,Copertura Teorica,Data
Calabria,279,12955,2.2%,1924701,0.014%,0.673%,2021-01-01
Calabria,448,12955,3.5%,1924701,0.023%,0.673%,2021-01-02
Calabria,453,12955,3.5%,1924701,0.024%,0.673%,2021-01-03
Calabria,701,12955,5.4%,1924701,0.036%,0.673%,2021-01-04
Calabria,2738,12955,21.1%,1924701,0.142%,0.673%,2021-01-05
Calabria,3925,25630,15.3%,1924701,0.204%,1.332%,2021-01-06
Calabria,5603,25630,21.9%,1924701,0.291%,1.332%,2021-01-07
Calabria,8280,25630,32.3%,1924701,0.43%,1.332%,2021-01-08
Calabria,10061,25630,39.3%,1924701,0.523%,1.332%,2021-01-09
Calabria,10061,25630,39.3%,1924701,0.523%,1.332%,2021-01-10
